D_num,turns,utterances,prev_uttrs,last,response
D_scene1,9,我和我闺蜜去旅游	你想去旅游	那是个不错的想法	是的可以感受以前没有感受过的事情	是的但会发现她以前被隐藏的优点	你是想更解你闺蜜	你一点都不解她	这么说起来她真的很神秘	你们认识多久,我和我闺蜜去旅游	你想去旅游	那是个不错的想法	是的可以感受以前没有感受过的事情	是的但会发现她以前被隐藏的优点	你是想更解你闺蜜	你一点都不解她	这么说起来她真的很神秘,你们认识多久,我们认识七年了。
D_scene1,10,我和我闺蜜去旅游	你想去旅游	那是个不错的想法	是的可以感受以前没有感受过的事情	是的但会发现她以前被隐藏的优点	你是想更解你闺蜜	你一点都不解她	这么说起来她真的很神秘	你们认识多久	很久希望你们友谊长存,我和我闺蜜去旅游	你想去旅游	那是个不错的想法	是的可以感受以前没有感受过的事情	是的但会发现她以前被隐藏的优点	你是想更解你闺蜜	你一点都不解她	这么说起来她真的很神秘	你们认识多久,很久希望你们友谊长存,谢谢，我也希望。
D_scene2,1,我朋友今天来找我玩,,我朋友今天来找我玩,她在哪儿上学？
D_scene2,2,我朋友今天来找我玩	她在北京上学,我朋友今天来找我玩,她在北京上学,来一次很不容易吧。
D_scene2,3,我朋友今天来找我玩	她在北京上学	是的很远要坐好长时间的火车,我朋友今天来找我玩	她在北京上学,是的很远要坐好长时间的火车,那你们关系一定很不错。
D_scene2,4,我朋友今天来找我玩	她在北京上学	是的很远要坐好长时间的火车	是的你怎么知道,我朋友今天来找我玩	她在北京上学	是的很远要坐好长时间的火车,是的你怎么知道,千山万水，赴你而来，一定是真爱。
D_scene2,5,我朋友今天来找我玩	她在北京上学	是的很远要坐好长时间的火车	是的你怎么知道	这个说法很有意思我要告诉她,我朋友今天来找我玩	她在北京上学	是的很远要坐好长时间的火车	是的你怎么知道,这个说法很有意思我要告诉她,看来你们关系真的很铁。
D_scene2,6,我朋友今天来找我玩	她在北京上学	是的很远要坐好长时间的火车	是的你怎么知道	这个说法很有意思我要告诉她	当然我们认识有十年,我朋友今天来找我玩	她在北京上学	是的很远要坐好长时间的火车	是的你怎么知道	这个说法很有意思我要告诉她,当然我们认识有十年,那你们小学就认识了？
D_scene2,7,我朋友今天来找我玩	她在北京上学	是的很远要坐好长时间的火车	是的你怎么知道	这个说法很有意思我要告诉她	当然我们认识有十年	是的我觉得很不可思议,我朋友今天来找我玩	她在北京上学	是的很远要坐好长时间的火车	是的你怎么知道	这个说法很有意思我要告诉她	当然我们认识有十年,是的我觉得很不可思议,你们有没有吵过架呢？
D_scene2,8,我朋友今天来找我玩	她在北京上学	是的很远要坐好长时间的火车	是的你怎么知道	这个说法很有意思我要告诉她	当然我们认识有十年	是的我觉得很不可思议	肯定会有但是她容忍我多一点,我朋友今天来找我玩	她在北京上学	是的很远要坐好长时间的火车	是的你怎么知道	这个说法很有意思我要告诉她	当然我们认识有十年	是的我觉得很不可思议,肯定会有但是她容忍我多一点,她脾气应该比你好吧？
D_scene2,9,我朋友今天来找我玩	她在北京上学	是的很远要坐好长时间的火车	是的你怎么知道	这个说法很有意思我要告诉她	当然我们认识有十年	是的我觉得很不可思议	肯定会有但是她容忍我多一点	是的她很善解人意,我朋友今天来找我玩	她在北京上学	是的很远要坐好长时间的火车	是的你怎么知道	这个说法很有意思我要告诉她	当然我们认识有十年	是的我觉得很不可思议	肯定会有但是她容忍我多一点,是的她很善解人意,在友情里，一定会有一个脾气特别好的。
D_scene2,10,我朋友今天来找我玩	她在北京上学	是的很远要坐好长时间的火车	是的你怎么知道	这个说法很有意思我要告诉她	当然我们认识有十年	是的我觉得很不可思议	肯定会有但是她容忍我多一点	是的她很善解人意	我希望我们能一直在一起,我朋友今天来找我玩	她在北京上学	是的很远要坐好长时间的火车	是的你怎么知道	这个说法很有意思我要告诉她	当然我们认识有十年	是的我觉得很不可思议	肯定会有但是她容忍我多一点	是的她很善解人意,我希望我们能一直在一起,祝福你们的友情。
D_scene3,1,我认识快10年的朋友居然昨天和我翻脸,,我认识快10年的朋友居然昨天和我翻脸,咋回事儿啊？
D_scene3,2,我认识快10年的朋友居然昨天和我翻脸	为一个女生,我认识快10年的朋友居然昨天和我翻脸,为一个女生,怎么又是这种狗血剧情！
D_scene3,3,我认识快10年的朋友居然昨天和我翻脸	为一个女生	我觉得非常狗血可是事实就是这样,我认识快10年的朋友居然昨天和我翻脸	为一个女生,我觉得非常狗血可是事实就是这样,没事的，他肯定一时冲动。
D_scene3,4,我认识快10年的朋友居然昨天和我翻脸	为一个女生	我觉得非常狗血可是事实就是这样	友谊能经得起平淡却经不起波澜,我认识快10年的朋友居然昨天和我翻脸	为一个女生	我觉得非常狗血可是事实就是这样,友谊能经得起平淡却经不起波澜,这话倒是很对，哈哈哈。
D_scene3,5,我认识快10年的朋友居然昨天和我翻脸	为一个女生	我觉得非常狗血可是事实就是这样	友谊能经得起平淡却经不起波澜	友谊原来竟是这样的脆弱,我认识快10年的朋友居然昨天和我翻脸	为一个女生	我觉得非常狗血可是事实就是这样	友谊能经得起平淡却经不起波澜,友谊原来竟是这样的脆弱,你先不要过早下结论。
D_scene3,6,我认识快10年的朋友居然昨天和我翻脸	为一个女生	我觉得非常狗血可是事实就是这样	友谊能经得起平淡却经不起波澜	友谊原来竟是这样的脆弱	你是说他还有什么难言之隐,我认识快10年的朋友居然昨天和我翻脸	为一个女生	我觉得非常狗血可是事实就是这样	友谊能经得起平淡却经不起波澜	友谊原来竟是这样的脆弱,你是说他还有什么难言之隐,那以你对他的了解呢？
D_scene3,7,我认识快10年的朋友居然昨天和我翻脸	为一个女生	我觉得非常狗血可是事实就是这样	友谊能经得起平淡却经不起波澜	友谊原来竟是这样的脆弱	你是说他还有什么难言之隐	我们这么多年朋友他不像这种人,我认识快10年的朋友居然昨天和我翻脸	为一个女生	我觉得非常狗血可是事实就是这样	友谊能经得起平淡却经不起波澜	友谊原来竟是这样的脆弱	你是说他还有什么难言之隐,我们这么多年朋友他不像这种人,那不就结了，那他肯定是有事。
D_scene3,8,我认识快10年的朋友居然昨天和我翻脸	为一个女生	我觉得非常狗血可是事实就是这样	友谊能经得起平淡却经不起波澜	友谊原来竟是这样的脆弱	你是说他还有什么难言之隐	我们这么多年朋友他不像这种人	我等会儿得去问问他,我认识快10年的朋友居然昨天和我翻脸	为一个女生	我觉得非常狗血可是事实就是这样	友谊能经得起平淡却经不起波澜	友谊原来竟是这样的脆弱	你是说他还有什么难言之隐	我们这么多年朋友他不像这种人,我等会儿得去问问他,朋友间发生矛盾一定要问清楚。
D_scene3,9,我认识快10年的朋友居然昨天和我翻脸	为一个女生	我觉得非常狗血可是事实就是这样	友谊能经得起平淡却经不起波澜	友谊原来竟是这样的脆弱	你是说他还有什么难言之隐	我们这么多年朋友他不像这种人	我等会儿得去问问他	我知道这事可能我没有考虑清楚,我认识快10年的朋友居然昨天和我翻脸	为一个女生	我觉得非常狗血可是事实就是这样	友谊能经得起平淡却经不起波澜	友谊原来竟是这样的脆弱	你是说他还有什么难言之隐	我们这么多年朋友他不像这种人	我等会儿得去问问他,我知道这事可能我没有考虑清楚,看来你都没有问清楚，就这么早下结论。
D_scene3,10,我认识快10年的朋友居然昨天和我翻脸	为一个女生	我觉得非常狗血可是事实就是这样	友谊能经得起平淡却经不起波澜	友谊原来竟是这样的脆弱	你是说他还有什么难言之隐	我们这么多年朋友他不像这种人	我等会儿得去问问他	我知道这事可能我没有考虑清楚	这事儿有我的不对,我认识快10年的朋友居然昨天和我翻脸	为一个女生	我觉得非常狗血可是事实就是这样	友谊能经得起平淡却经不起波澜	友谊原来竟是这样的脆弱	你是说他还有什么难言之隐	我们这么多年朋友他不像这种人	我等会儿得去问问他	我知道这事可能我没有考虑清楚,这事儿有我的不对,那就找他把事情弄个清楚。
D_scene4,1,我想以后再见不到我最好的朋友,,我想以后再见不到我最好的朋友,她去哪儿了？
D_scene4,2,我想以后再见不到我最好的朋友	他们快要搬家,我想以后再见不到我最好的朋友,他们快要搬家,我想你肯定很舍不得。
D_scene4,3,我想以后再见不到我最好的朋友	他们快要搬家	对一想到以后见不到我就很不开心,我想以后再见不到我最好的朋友	他们快要搬家,对一想到以后见不到我就很不开心,那你这几天赶紧多找她玩。
D_scene4,4,我想以后再见不到我最好的朋友	他们快要搬家	对一想到以后见不到我就很不开心	不知道为啥这两天我不想跟她说话,我想以后再见不到我最好的朋友	他们快要搬家	对一想到以后见不到我就很不开心,不知道为啥这两天我不想跟她说话,你不是舍不得她吗？
D_scene4,5,我想以后再见不到我最好的朋友	他们快要搬家	对一想到以后见不到我就很不开心	不知道为啥这两天我不想跟她说话	对我怕我以后会想她,我想以后再见不到我最好的朋友	他们快要搬家	对一想到以后见不到我就很不开心	不知道为啥这两天我不想跟她说话,对我怕我以后会想她,所以你想最近把她忘了。
D_scene4,6,我想以后再见不到我最好的朋友	他们快要搬家	对一想到以后见不到我就很不开心	不知道为啥这两天我不想跟她说话	对我怕我以后会想她	可是我做不到,我想以后再见不到我最好的朋友	他们快要搬家	对一想到以后见不到我就很不开心	不知道为啥这两天我不想跟她说话	对我怕我以后会想她,可是我做不到,她和你做了几年朋友了？
D_scene4,7,我想以后再见不到我最好的朋友	他们快要搬家	对一想到以后见不到我就很不开心	不知道为啥这两天我不想跟她说话	对我怕我以后会想她	可是我做不到	从学前班一直到现在,我想以后再见不到我最好的朋友	他们快要搬家	对一想到以后见不到我就很不开心	不知道为啥这两天我不想跟她说话	对我怕我以后会想她	可是我做不到,从学前班一直到现在,看来你们友情很深厚啊！
D_scene4,8,我想以后再见不到我最好的朋友	他们快要搬家	对一想到以后见不到我就很不开心	不知道为啥这两天我不想跟她说话	对我怕我以后会想她	可是我做不到	从学前班一直到现在	我俩从小干什么都一起,我想以后再见不到我最好的朋友	他们快要搬家	对一想到以后见不到我就很不开心	不知道为啥这两天我不想跟她说话	对我怕我以后会想她	可是我做不到	从学前班一直到现在,我俩从小干什么都一起,我想她也很舍不得离开你。
D_scene4,9,我想以后再见不到我最好的朋友	他们快要搬家	对一想到以后见不到我就很不开心	不知道为啥这两天我不想跟她说话	对我怕我以后会想她	可是我做不到	从学前班一直到现在	我俩从小干什么都一起	这几天他对我笑我都没回应,我想以后再见不到我最好的朋友	他们快要搬家	对一想到以后见不到我就很不开心	不知道为啥这两天我不想跟她说话	对我怕我以后会想她	可是我做不到	从学前班一直到现在	我俩从小干什么都一起,这几天他对我笑我都没回应,你是怕想到以后见不到她了就伤心吧！
D_scene4,10,我想以后再见不到我最好的朋友	他们快要搬家	对一想到以后见不到我就很不开心	不知道为啥这两天我不想跟她说话	对我怕我以后会想她	可是我做不到	从学前班一直到现在	我俩从小干什么都一起	这几天他对我笑我都没回应	对我希望她离开的时候不要告诉我,我想以后再见不到我最好的朋友	他们快要搬家	对一想到以后见不到我就很不开心	不知道为啥这两天我不想跟她说话	对我怕我以后会想她	可是我做不到	从学前班一直到现在	我俩从小干什么都一起	这几天他对我笑我都没回应,对我希望她离开的时候不要告诉我,那你就提前跟他好好道个别吧！
D_scene5,1,友情好像离我很远,,友情好像离我很远,怎么可能，它一直就在你身边。
D_scene5,2,友情好像离我很远	那我怎么没发现,友情好像离我很远,那我怎么没发现,那是你不善于观察，友情就在你周围。
D_scene5,3,友情好像离我很远	那我怎么没发现	那我怎样才能看到,友情好像离我很远	那我怎么没发现,那我怎样才能看到,这看不到。
D_scene5,4,友情好像离我很远	那我怎么没发现	那我怎样才能看到	那是怎样的,友情好像离我很远	那我怎么没发现	那我怎样才能看到,那是怎样的,你需要用心体会。
D_scene5,5,友情好像离我很远	那我怎么没发现	那我怎样才能看到	那是怎样的	好我还是不太懂,友情好像离我很远	那我怎么没发现	那我怎样才能看到	那是怎样的,好我还是不太懂,这样，你想想你的朋友们。
D_scene5,6,友情好像离我很远	那我怎么没发现	那我怎样才能看到	那是怎样的	好我还是不太懂	我有很多朋友,友情好像离我很远	那我怎么没发现	那我怎样才能看到	那是怎样的	好我还是不太懂,我有很多朋友,对啊，这就是你们之间的友情。
D_scene5,7,友情好像离我很远	那我怎么没发现	那我怎样才能看到	那是怎样的	好我还是不太懂	我有很多朋友	真的这就叫做友情,友情好像离我很远	那我怎么没发现	那我怎样才能看到	那是怎样的	好我还是不太懂	我有很多朋友,真的这就叫做友情,你可能不会完全体会，以后会明白的。
D_scene5,8,友情好像离我很远	那我怎么没发现	那我怎样才能看到	那是怎样的	好我还是不太懂	我有很多朋友	真的这就叫做友情	我想我有些明白,友情好像离我很远	那我怎么没发现	那我怎样才能看到	那是怎样的	好我还是不太懂	我有很多朋友	真的这就叫做友情,我想我有些明白,这么快就明白了？
D_scene5,9,友情好像离我很远	那我怎么没发现	那我怎样才能看到	那是怎样的	好我还是不太懂	我有很多朋友	真的这就叫做友情	我想我有些明白	我有那么多朋友那就是友情的体现,友情好像离我很远	那我怎么没发现	那我怎样才能看到	那是怎样的	好我还是不太懂	我有很多朋友	真的这就叫做友情	我想我有些明白,我有那么多朋友那就是友情的体现,对啊，这就是你们友情的象征。
D_scene5,10,友情好像离我很远	那我怎么没发现	那我怎样才能看到	那是怎样的	好我还是不太懂	我有很多朋友	真的这就叫做友情	我想我有些明白	我有那么多朋友那就是友情的体现	那我应该好好维护,友情好像离我很远	那我怎么没发现	那我怎样才能看到	那是怎样的	好我还是不太懂	我有很多朋友	真的这就叫做友情	我想我有些明白	我有那么多朋友那就是友情的体现,那我应该好好维护,是啊。友情很可贵，愿你珍惜！
D_scene6,1,男生之间的友情好像比女生的深,,男生之间的友情好像比女生的深,嗯，我也觉得。
D_scene6,2,男生之间的友情好像比女生的深	可能因为让几个女生成为朋友的理由简单,男生之间的友情好像比女生的深,可能因为让几个女生成为朋友的理由简单,同品牌的香水！
D_scene6,3,男生之间的友情好像比女生的深	可能因为让几个女生成为朋友的理由简单	同色号的口红,男生之间的友情好像比女生的深	可能因为让几个女生成为朋友的理由简单,同色号的口红,对！好多奇葩的原因就成为朋友了。
D_scene6,4,男生之间的友情好像比女生的深	可能因为让几个女生成为朋友的理由简单	同色号的口红	所以友情很脆弱,男生之间的友情好像比女生的深	可能因为让几个女生成为朋友的理由简单	同色号的口红,所以友情很脆弱,但男生不一样。
D_scene6,5,男生之间的友情好像比女生的深	可能因为让几个女生成为朋友的理由简单	同色号的口红	所以友情很脆弱	嗯铁哥们儿,男生之间的友情好像比女生的深	可能因为让几个女生成为朋友的理由简单	同色号的口红	所以友情很脆弱,嗯铁哥们儿,而且女生们容易为一些鸡毛蒜皮的小事怄气。
D_scene6,6,男生之间的友情好像比女生的深	可能因为让几个女生成为朋友的理由简单	同色号的口红	所以友情很脆弱	嗯铁哥们儿	男生就不一样有什么事都说出来,男生之间的友情好像比女生的深	可能因为让几个女生成为朋友的理由简单	同色号的口红	所以友情很脆弱	嗯铁哥们儿,男生就不一样有什么事都说出来,对啊，说出来多好的，非得憋在心里。
D_scene6,7,男生之间的友情好像比女生的深	可能因为让几个女生成为朋友的理由简单	同色号的口红	所以友情很脆弱	嗯铁哥们儿	男生就不一样有什么事都说出来	像我男朋友有七个兄弟个个关系都特别好,男生之间的友情好像比女生的深	可能因为让几个女生成为朋友的理由简单	同色号的口红	所以友情很脆弱	嗯铁哥们儿	男生就不一样有什么事都说出来,像我男朋友有七个兄弟个个关系都特别好,女生之间有七八个姐妹的好像不太多。
D_scene6,8,男生之间的友情好像比女生的深	可能因为让几个女生成为朋友的理由简单	同色号的口红	所以友情很脆弱	嗯铁哥们儿	男生就不一样有什么事都说出来	像我男朋友有七个兄弟个个关系都特别好	嗯女生比较多的就是两个或者三个,男生之间的友情好像比女生的深	可能因为让几个女生成为朋友的理由简单	同色号的口红	所以友情很脆弱	嗯铁哥们儿	男生就不一样有什么事都说出来	像我男朋友有七个兄弟个个关系都特别好,嗯女生比较多的就是两个或者三个,但是只要用心待人，自然能有回报。
D_scene6,9,男生之间的友情好像比女生的深	可能因为让几个女生成为朋友的理由简单	同色号的口红	所以友情很脆弱	嗯铁哥们儿	男生就不一样有什么事都说出来	像我男朋友有七个兄弟个个关系都特别好	嗯女生比较多的就是两个或者三个	嗯这倒与兄弟姐妹的多少无关,男生之间的友情好像比女生的深	可能因为让几个女生成为朋友的理由简单	同色号的口红	所以友情很脆弱	嗯铁哥们儿	男生就不一样有什么事都说出来	像我男朋友有七个兄弟个个关系都特别好	嗯女生比较多的就是两个或者三个,嗯这倒与兄弟姐妹的多少无关,真心待人就行。
D_scene6,10,男生之间的友情好像比女生的深	可能因为让几个女生成为朋友的理由简单	同色号的口红	所以友情很脆弱	嗯铁哥们儿	男生就不一样有什么事都说出来	像我男朋友有七个兄弟个个关系都特别好	嗯女生比较多的就是两个或者三个	嗯这倒与兄弟姐妹的多少无关	友情不就是这样,男生之间的友情好像比女生的深	可能因为让几个女生成为朋友的理由简单	同色号的口红	所以友情很脆弱	嗯铁哥们儿	男生就不一样有什么事都说出来	像我男朋友有七个兄弟个个关系都特别好	嗯女生比较多的就是两个或者三个	嗯这倒与兄弟姐妹的多少无关,友情不就是这样,对啊，就是在日积月累的维持中存活啊。
D_scene7,1,特别羡慕小时代里的友情,,特别羡慕小时代里的友情,是啊，她们简直太甜了。
D_scene7,2,特别羡慕小时代里的友情	几个姐妹一起住是我的愿望,特别羡慕小时代里的友情,几个姐妹一起住是我的愿望,而且有个顾里那么有钱的姐妹真是太好了。
D_scene7,3,特别羡慕小时代里的友情	几个姐妹一起住是我的愿望	是住那么豪华的大房子,特别羡慕小时代里的友情	几个姐妹一起住是我的愿望,是住那么豪华的大房子,我要让闺蜜好好努力，将来好养我！
D_scene7,4,特别羡慕小时代里的友情	几个姐妹一起住是我的愿望	是住那么豪华的大房子	你不是还有男朋友么,特别羡慕小时代里的友情	几个姐妹一起住是我的愿望	是住那么豪华的大房子,你不是还有男朋友么,他呀，靠不住！
D_scene7,5,特别羡慕小时代里的友情	几个姐妹一起住是我的愿望	是住那么豪华的大房子	你不是还有男朋友么	看你说的你闺蜜就能靠住,特别羡慕小时代里的友情	几个姐妹一起住是我的愿望	是住那么豪华的大房子	你不是还有男朋友么,看你说的你闺蜜就能靠住,是啊，她又漂亮又聪明。
D_scene7,6,特别羡慕小时代里的友情	几个姐妹一起住是我的愿望	是住那么豪华的大房子	你不是还有男朋友么	看你说的你闺蜜就能靠住	她知道你在背地里这么夸她,特别羡慕小时代里的友情	几个姐妹一起住是我的愿望	是住那么豪华的大房子	你不是还有男朋友么	看你说的你闺蜜就能靠住,她知道你在背地里这么夸她,虽然当面不说，但我真的觉得她很棒。
D_scene7,7,特别羡慕小时代里的友情	几个姐妹一起住是我的愿望	是住那么豪华的大房子	你不是还有男朋友么	看你说的你闺蜜就能靠住	她知道你在背地里这么夸她	嗯嗯我觉得我闺蜜特别棒,特别羡慕小时代里的友情	几个姐妹一起住是我的愿望	是住那么豪华的大房子	你不是还有男朋友么	看你说的你闺蜜就能靠住	她知道你在背地里这么夸她,嗯嗯我觉得我闺蜜特别棒,咱们就是刀子嘴豆腐心，当面不夸她们。
D_scene7,8,特别羡慕小时代里的友情	几个姐妹一起住是我的愿望	是住那么豪华的大房子	你不是还有男朋友么	看你说的你闺蜜就能靠住	她知道你在背地里这么夸她	嗯嗯我觉得我闺蜜特别棒	是损友,特别羡慕小时代里的友情	几个姐妹一起住是我的愿望	是住那么豪华的大房子	你不是还有男朋友么	看你说的你闺蜜就能靠住	她知道你在背地里这么夸她	嗯嗯我觉得我闺蜜特别棒,是损友,越损你的才越是你的好朋友。
D_scene7,9,特别羡慕小时代里的友情	几个姐妹一起住是我的愿望	是住那么豪华的大房子	你不是还有男朋友么	看你说的你闺蜜就能靠住	她知道你在背地里这么夸她	嗯嗯我觉得我闺蜜特别棒	是损友	反正和我闺蜜在一起就各种损她,特别羡慕小时代里的友情	几个姐妹一起住是我的愿望	是住那么豪华的大房子	你不是还有男朋友么	看你说的你闺蜜就能靠住	她知道你在背地里这么夸她	嗯嗯我觉得我闺蜜特别棒	是损友,反正和我闺蜜在一起就各种损她,我也是，因为怎么锁她都不会离开我。
D_scene7,10,特别羡慕小时代里的友情	几个姐妹一起住是我的愿望	是住那么豪华的大房子	你不是还有男朋友么	看你说的你闺蜜就能靠住	她知道你在背地里这么夸她	嗯嗯我觉得我闺蜜特别棒	是损友	反正和我闺蜜在一起就各种损她	友情就是这样,特别羡慕小时代里的友情	几个姐妹一起住是我的愿望	是住那么豪华的大房子	你不是还有男朋友么	看你说的你闺蜜就能靠住	她知道你在背地里这么夸她	嗯嗯我觉得我闺蜜特别棒	是损友	反正和我闺蜜在一起就各种损她,友情就是这样,嗯，互相付出真心却又恶语相加。
D_scene8,1,友情比海还要深遂,,友情比海还要深遂,是呀，这使我想到了马克思和恩格斯。
D_scene8,2,友情比海还要深遂	他们不是共产主义最早期的宣传者,友情比海还要深遂,他们不是共产主义最早期的宣传者,对，他们之间的友情甚至超出了亲情。
D_scene8,3,友情比海还要深遂	他们不是共产主义最早期的宣传者	还是初中时候学过的我都快忘你说说,友情比海还要深遂	他们不是共产主义最早期的宣传者,还是初中时候学过的我都快忘你说说,马克思家里比较穷，是恩格斯接济他。
D_scene8,4,友情比海还要深遂	他们不是共产主义最早期的宣传者	还是初中时候学过的我都快忘你说说	那真挺好那怎么友情超过亲情,友情比海还要深遂	他们不是共产主义最早期的宣传者	还是初中时候学过的我都快忘你说说,那真挺好那怎么友情超过亲情,马克思写作，恩格斯经济上支持了三十多年。
D_scene8,5,友情比海还要深遂	他们不是共产主义最早期的宣传者	还是初中时候学过的我都快忘你说说	那真挺好那怎么友情超过亲情	那恩格斯真有钱,友情比海还要深遂	他们不是共产主义最早期的宣传者	还是初中时候学过的我都快忘你说说	那真挺好那怎么友情超过亲情,那恩格斯真有钱,他是资本家出身，但他也有没钱的时候。
D_scene8,6,友情比海还要深遂	他们不是共产主义最早期的宣传者	还是初中时候学过的我都快忘你说说	那真挺好那怎么友情超过亲情	那恩格斯真有钱	没钱就不给马克思寄钱,友情比海还要深遂	他们不是共产主义最早期的宣传者	还是初中时候学过的我都快忘你说说	那真挺好那怎么友情超过亲情	那恩格斯真有钱,没钱就不给马克思寄钱,当然不是，他从来没有断过对马克思的支持。
D_scene8,7,友情比海还要深遂	他们不是共产主义最早期的宣传者	还是初中时候学过的我都快忘你说说	那真挺好那怎么友情超过亲情	那恩格斯真有钱	没钱就不给马克思寄钱	这的确超出友情,友情比海还要深遂	他们不是共产主义最早期的宣传者	还是初中时候学过的我都快忘你说说	那真挺好那怎么友情超过亲情	那恩格斯真有钱	没钱就不给马克思寄钱,这的确超出友情,后来马克思死了，恩格斯到处宣传他的著作。
