text_left,text_right,tag,label
00：00抢的货，两单居然已经发货了,我都没抢到,zhongxing,1
00：00抢的货，两单居然已经发货了,长期不运动的结果,zhongxing,0
00：00整，终于下班到家了,在爪子，这么久,zhongxing,1
00：00整，终于下班到家了,没图没真相,zhongxing,0
00：19思绪都只能隐藏在寂寞的时间之中,或者说是隐忍,zhongxing,1
00：19思绪都只能隐藏在寂寞的时间之中,你妈。脑子想什么，想干嘛,zhongxing,0
00：40还有么睡的朋友木有,辛苦泡杯感谢,leguan,1
00：40还有么睡的朋友木有,独自前行，勇敢上路,leguan,0
013路，你的头发味道很香,闻陌生人的头发感觉真有点变态,zhongxing,1
013路，你的头发味道很香,恩，跟着感觉走,zhongxing,0
01。24。习惯也是可以改变的,习惯可以培养，也可以改变,zhongxing,1
01。24。习惯也是可以改变的,我也没有，然而每次组队都有种人手一只鸟的错觉,zhongxing,0
01，03，抽奖送的鼠标垫和我屏幕一样大这是闹哪样,裁成几片送人吧,zhongxing,1
01，03，抽奖送的鼠标垫和我屏幕一样大这是闹哪样,不要做沉默的人,zhongxing,0
01：15还听着mp3，睡吧混乱的郑舒媛，明天又会很忙的,不信，自己睡不着别赖我,zhongxing,1
01：15还听着mp3，睡吧混乱的郑舒媛，明天又会很忙的,我失眠了一晚上,zhongxing,0
0206话题：帮人带话帮人带东西,不喜欢给别人带话和带东西！太被动了，容易遭嫌弃和鄙视,beiguan,1
0206话题：帮人带话帮人带东西,真的有点担心你,beiguan,0
0208做了太多梦了，每一个记得清的,是不是压力大了,zhongxing,1
0208做了太多梦了，每一个记得清的,我们就隔着一道墙,zhongxing,0
0222，和那天的天气一样好,好2的日子哦,leguan,1
0222，和那天的天气一样好,好好过日子开心哦,leguan,0
0223，还是咳嗽，没去健身。希望明天会好,你都咳了几天了,beiguan,1
0223，还是咳嗽，没去健身。希望明天会好,同想哭，熬这么久了,beiguan,0
0269，又是鸽哨叫我起床，大爱,鸽子叫这么晚啊,zhongxing,1
0269，又是鸽哨叫我起床，大爱,明天带把大伞，风吹来的时候抓紧伞，你就有机会被吹走了,zhongxing,0
02，20，喝茶后的作用就好比喝了杯超级非常浓缩的咖啡,吃粒安眠药，饮多几杯都不怕啦,beiguan,1
02，20，喝茶后的作用就好比喝了杯超级非常浓缩的咖啡,好好叫日记本不就完了吗，,beiguan,0
